action_id,split,n_clips,has_replay,severity_raw,Severity,Offence,Action class,Bodypart,Contact,handball,handball_offence,trytoplay,touchball,upper_body_part,is_dive
0,train,0,False,1.0,No card,Offence,Challenge,Upper body,With contact,Unknown,Unknown,Unknown,Unknown,Unknown,False
1,train,0,False,3.0,Yellow card,Offence,Tackling,Under body,With contact,Unknown,Unknown,Unknown,Unknown,Unknown,False
2,train,0,False,3.0,Yellow card,Offence,Standing tackling,Under body,With contact,Unknown,Unknown,Unknown,Unknown,Unknown,False
3,train,0,False,5.0,Red card,Offence,High leg,Under body,With contact,Unknown,Unknown,Unknown,Unknown,Unknown,False
4,train,0,False,1.0,No card,Offence,Standing tackling,Under body,With contact,Unknown,Unknown,Unknown,Unknown,Unknown,False
5,train,0,False,1.0,No card,Offence,Standing tackling,Under body,With contact,Unknown,Unknown,Unknown,Unknown,Unknown,False
6,train,0,False,,Unknown,Offence,Dive,Under body,Without contact,Unknown,Unknown,Unknown,Unknown,Unknown,True
7,train,0,False,1.0,No card,Offence,Elbowing,Upper body,With contact,Unknown,Unknown,Unknown,Unknown,Unknown,False
8,train,0,False,1.0,No card,Offence,,Upper body,With contact,Unknown,Unknown,Unknown,Unknown,Unknown,False
9,train,0,False,1.0,No card,Offence,Standing tackling,Under body,With contact,Unknown,Unknown,Unknown,Unknown,Unknown,False
10,train,0,False,1.0,No card,Offence,Standing tackling,Under body,With contact,Unknown,Unknown,Unknown,Unknown,Unknown,False
11,train,0,False,1.0,No card,Offence,Standing tackling,Under body,With contact,Unknown,Unknown,Unknown,Unknown,Unknown,False
12,train,0,False,1.0,No card,Offence,Standing tackling,Under body,With contact,Unknown,Unknown,Unknown,Unknown,Unknown,False
13,train,0,False,1.0,No card,Offence,Holding,Upper body,With contact,Unknown,Unknown,Unknown,Unknown,Unknown,False
14,train,0,False,3.0,Yellow card,Offence,Standing tackling,Under body,With contact,Unknown,Unknown,Unknown,Unknown,Unknown,False
15,train,0,False,1.0,No card,Offence,Holding,Upper body,With contact,Unknown,Unknown,Unknown,Unknown,Unknown,False
16,train,0,False,1.0,No card,Offence,Standing tackling,Under body,With contact,Unknown,Unknown,Unknown,Unknown,Unknown,False
17,train,0,False,1.0,No card,Offence,Standing tackling,Under body,With contact,Unknown,Unknown,Unknown,Unknown,Unknown,False
18,train,0,False,3.0,Yellow card,Offence,Standing tackling,Under body,With contact,Unknown,Unknown,Unknown,Unknown,Unknown,False
19,train,0,False,,Unknown,No offence,Standing tackling,Under body,With contact,Unknown,Unknown,Unknown,Unknown,Unknown,False
20,train,0,False,2.0,No card/Yellow card,Offence,Standing tackling,Under body,With contact,Unknown,Unknown,Unknown,Unknown,Unknown,False
21,train,0,False,1.0,No card,Offence,Dont know,,With contact,Unknown,Unknown,Unknown,Unknown,Unknown,False
22,train,0,False,1.0,No card,Offence,Pushing,Upper body,With contact,Unknown,Unknown,Unknown,Unknown,Unknown,False
23,train,0,False,1.0,No card,Offence,Dont know,Upper body,With contact,Unknown,Unknown,Unknown,Unknown,Unknown,False
24,train,0,False,4.0,Yellow card/Red card,Offence,High leg,Under body,With contact,Unknown,Unknown,Unknown,Unknown,Unknown,False
25,train,0,False,,Unknown,No offence,Challenge,Upper body,With contact,Unknown,Unknown,Unknown,Unknown,Unknown,False
26,train,0,False,1.0,No card,Offence,High leg,Under body,Without contact,Unknown,Unknown,Unknown,Unknown,Unknown,False
27,train,0,False,3.0,Yellow card,Offence,Tackling,Under body,With contact,Unknown,Unknown,Unknown,Unknown,Unknown,False
28,train,0,False,1.0,No card,Offence,Challenge,Upper body,With contact,Unknown,Unknown,Unknown,Unknown,Unknown,False
29,train,0,False,3.0,Yellow card,Offence,Tackling,Under body,With contact,Unknown,Unknown,Unknown,Unknown,Unknown,False
30,train,0,False,2.0,No card/Yellow card,Offence,Standing tackling,Under body,With contact,Unknown,Unknown,Unknown,Unknown,Unknown,False
31,train,0,False,3.0,Yellow card,Offence,Tackling,Under body,With contact,Unknown,Unknown,Unknown,Unknown,Unknown,False
32,train,0,False,,Unknown,No offence,Elbowing,Upper body,With contact,Unknown,Unknown,Unknown,Unknown,Unknown,False
33,train,0,False,,Unknown,No offence,Tackling,Under body,With contact,Unknown,Unknown,Unknown,Unknown,Unknown,False
34,train,0,False,1.0,No card,Offence,Standing tackling,Under body,With contact,Unknown,Unknown,Unknown,Unknown,Unknown,False
35,train,0,False,2.0,No card/Yellow card,Offence,Tackling,Under body,With contact,Unknown,Unknown,Unknown,Unknown,Unknown,False
36,train,0,False,1.0,No card,Offence,Holding,Upper body,With contact,Unknown,Unknown,Unknown,Unknown,Unknown,False
37,train,0,False,3.0,Yellow card,Offence,Tackling,Under body,With contact,Unknown,Unknown,Unknown,Unknown,Unknown,False
38,train,0,False,,Unknown,No offence,Tackling,Under body,With contact,Unknown,Unknown,Unknown,Unknown,Unknown,False
39,train,0,False,1.0,No card,Offence,Dont know,Upper body,With contact,Unknown,Unknown,Unknown,Unknown,Unknown,False
40,train,0,False,,Unknown,No offence,Pushing,Upper body,With contact,Unknown,Unknown,Unknown,Unknown,Unknown,False
41,train,0,False,3.0,Yellow card,Offence,Holding,Upper body,With contact,Unknown,Unknown,Unknown,Unknown,Unknown,False
42,train,0,False,3.0,Yellow card,Offence,High leg,Under body,With contact,Unknown,Unknown,Unknown,Unknown,Unknown,False
43,train,0,False,1.0,No card,Offence,Standing tackling,Under body,With contact,Unknown,Unknown,Unknown,Unknown,Unknown,False
44,train,0,False,3.0,Yellow card,Offence,Holding,Upper body,With contact,Unknown,Unknown,Unknown,Unknown,Unknown,False
45,train,0,False,1.0,No card,Offence,Challenge,Upper body,With contact,Unknown,Unknown,Unknown,Unknown,Unknown,False
46,train,0,False,3.0,Yellow card,Offence,High leg,Under body,With contact,Unknown,Unknown,Unknown,Unknown,Unknown,False
47,train,0,False,1.0,No card,Offence,Challenge,Upper body,With contact,Unknown,Unknown,Unknown,Unknown,Unknown,False
48,train,0,False,1.0,No card,Offence,Standing tackling,Under body,With contact,Unknown,Unknown,Unknown,Unknown,Unknown,False
49,train,0,False,1.0,No card,Offence,Challenge,Upper body,With contact,Unknown,Unknown,Unknown,Unknown,Unknown,False
50,train,0,False,3.0,Yellow card,Offence,Tackling,Under body,With contact,Unknown,Unknown,Unknown,Unknown,Unknown,False
51,train,0,False,3.0,Yellow card,Offence,High leg,Under body,With contact,Unknown,Unknown,Unknown,Unknown,Unknown,False
52,train,0,False,2.0,No card/Yellow card,Offence,Holding,Upper body,With contact,Unknown,Unknown,Unknown,Unknown,Unknown,False
53,train,0,False,1.0,No card,Offence,Standing tackling,Under body,With contact,Unknown,Unknown,Unknown,Unknown,Unknown,False
54,train,0,False,1.0,No card,Offence,Standing tackling,Under body,With contact,Unknown,Unknown,Unknown,Unknown,Unknown,False
55,train,0,False,1.0,No card,Between,Standing tackling,Under body,With contact,Unknown,Unknown,Unknown,Unknown,Unknown,False
